Code,Item #,Type #,Type,English,Japanese,Alt,Spanish,French,German,Italian
4AD3,215,10,Hammers,Giant wrench,きょだいスパナ,,Llave gigante,Clef géante,Schrauben-schlüssel,Chiave gigante
4AD4,216,10,Hammers,Terra tamper,つちのハンマー,,Martillo apisonador,Géomarteau,Terraklopfer,Martello della terra
4AD5,217,10,Hammers,Terra firmer,大地のかなづち,,Martillo nivelador,Géomaillet,Terrastampfer,Terra Firma
4AD6,218,10,Hammers,Terra hammer,ガイアのてっつい,,Martillo allanador,Géomasse,Terrahammer,Mazza del suolo
4AD7,219,10,Hammers,Marauder's maul,おにのかなぼう,,Pico de ladrón,Massue de maraudeur,Plündererprügel,Mazza del predatore
4AD9,220,10,Hammers,Giant's hammer,きょじんのハンマー,,Martillo de gigante,Marteau de géant,Hünenhammer,Gigamartello
4ADA,221,10,Hammers,Titan's hammer,アトラスのかなづち,,Martillo de titán,Marteau de titan,Titanenhammer,Martello titanico
4AD8,222,10,Hammers,Hela's hammer,まじんのかなづち,,Martillo de Hela,Marteau de Hela,Hammer der Hela,Martello di Hela
4ADB,223,10,Hammers,Megaton hammer,メガトンハンマー,,Martillo megatón,Marteau mégatonne,Megatonnen-Hammer,Martello megatonico
4ADC,224,10,Hammers,Warlord's hammer,ギガクラッシャー,,Martillo letal,Marteau de guerre,Kriegsherren-Hammer,Megamartello
4ADD,225,10,Hammers,Groundbreaker,大地くだき,,Rompeterrenos,Pilon,Bodenberster,Sysma
4ADE,226,10,Hammers,Earthsplitter,たいりくくだき,,Quebrantaterrenos,Pilon terrestre,Erdspalter,Fendisuolo
4ADF,227,10,Hammers,Moonmasher,プレートくだき,,Aplastalunas,Pilon lunaire,Mondmanscher,Spaccalune
4AE0,228,10,Hammers,Starsmasher,ほしくだき,,Aplastaestrellas,Pilon stellaire,Sternen-schmetterer,Distruttore stellare
50DC,229,11,Boomerangs,Boomerang,ブーメラン,,Bumerán,Boomerang,Bumerang,Boomerang
50DD,230,11,Boomerangs,Reinforced boomerang,ハイブーメラン,,Bumerán reforzado,Boomerang renforcé,Verstärkter Bumerang,Ala del ritorno
50DE,231,11,Boomerangs,Edged boomerang,やいばのブーメラン,,Bumerán afilado,Boomerang à lames,Klingenbumerang,Boomerang affilato
50DF,232,11,Boomerangs,Cutting-edge boomerang,きりさきブーメラン,,Bumerán cortante,Boomerang tranchant,Zwiespalt-Bumerang,Boomerklang
50E0,233,11,Boomerangs,Crucerang,クロスブーメラン,,Crucerán,Boomerang cruciforme,Kruzerang,Cruxirang
50E1,234,11,Boomerangs,Razor-wing boomerang,ウイングエッジ,,Bumerán cercenador,Boomerang acéré,Schneiden-bumerang,Boomerasoio
50E2,235,11,Boomerangs,Razer-wing boomerang,クレセントエッジ,,Bumerán arrasador,Boomerang coupe-chou,Schnitterbumerang,Boomerzero
50E3,236,11,Boomerangs,Erazor-wing boomerang,ビクトリーエッジ,,Bumerán borrador,Boomerang rasoir,Schlitzerbumerang,Lamalata radente
50E4,237,11,Boomerangs,Swallowtail,ツインスワロー,,Cola de golondrina,Boomerang de l'Ange,Schwalben-schwanz,Boomerang sonico
50E5,238,11,Boomerangs,Eaglewing,イーグルフェザー,,Ala de águila,Aile d'aigle,Adlerschwinge,Ala dell'aquila
50E6,239,11,Boomerangs,Gusterang,かぜのブーメラン,,Rafagarán,Boomerang rafale,Sturmerang,Boomeragano
50E7,240,11,Boomerangs,Blusterang,ハリケーンエッジ,,Ventolerán,Boomerang tempête,Bömerang,Tornado
50E8,241,11,Boomerangs,Flametang boomerang,ほのおのブーメラン,,Bumerán flamígero,Boomerang de feu,Flammenbumerang,Boomerang di fuoco
50E9,242,11,Boomerangs,Banefire boomerang,フレイムカッター,,Pirobumerán,Boomerang incandescent,Feuerfluch-bumerang,Fiamma volante
50EA,243,11,Boomerangs,Pentarang,ペンタグラム,,Pentarán,Pentaboomerang,Pentarang,Pentarang
50EB,244,11,Boomerangs,Hexarang,ヘキサグラム,,Hexarán,Hexaboomerang,Hexarang,Esarang
50EC,245,11,Boomerangs,Meteorang,メテオエッジ,,Meteorán,Météorang,Meteorang,Meteorang
50ED,246,11,Boomerangs,Asterang,コメットエッジ,,Astrorán,Astérang,Asterang,Asterang
50EE,247,11,Boomerangs,Stellarang,スーパーノヴァ,,Estelarán,Stellarang,Stellarang,Stellarang
50EF,248,11,Boomerangs,Galaxarang,ハイパーノヴァ,,Galaxirán,Galaxirang,Galaxarang,Galaxiarang
51A5,249,12,Bows,Short bow,ショートボウ,,Arco corto,Arc court,Kurzbogen,Arco Manferma
51A6,250,12,Bows,Longbow,ロングボウ,,Arco largo,Arc long,Langbogen,Arco
51A7,251,12,Bows,Hunter's bow,クロスボウ,,Arco de caza,Arc de chasseur,Jägerbogen,Arco da caccia
51A8,252,12,Bows,Fuddle bow,ゆうわくの弓,,Arco Confusión,Arc de confusion,Wirrbogen,Grand'arco
51A4,253,12,Bows,Potshot bow,かりうどの弓,,Arco de tiro,Arc de débutant,Flitzebogen,Arco del cielo
51AA,254,12,Bows,Hotshot bow,スナイピングボウ,,Arco certero,Arc de précision,Wildererbogen,Arco di precisione
51AB,255,12,Bows,Blowy bow,かぜきりの弓,,Arco ventoso,Arc du vent,Blasebogen,Arco Bora
51AC,256,12,Bows,Billowing bow,あらしの弓,,Arco ululante,Arc des bourrasques,Brausebogen,Arco Tramontana
51AD,257,12,Bows,Blustery bow,サイクロンボウ,,Arco borrascoso,Arc des tempêtes,Sturmbogen,Arco sonico
51A9,258,12,Bows,Cheiron's bow,ケイロンの弓,,Arco de Quirón,Arc de Chiron,Chironbogen,Arco di Chirone
51AE,259,12,Bows,Great bow,ビッグボウガン,,Arco tradicional,Grand arc,Großer Bogen,Arco da guerra
51AF,260,12,Bows,Purblind bow,むげんの弓,,Arco cegador,Arc aveuglant,Baffbogen,Arco accecante
51B0,261,12,Bows,Blinding bow,むげんの大弓,,Arco deslumbrador,Arc de cécité,Blendbogen,Arco dell'oscurità
51B1,262,12,Bows,Oh-no bow,じごくの弓,,Arco oh-no,Anarc,Böser Bogen,Malarco
51B2,263,12,Bows,Odin's bow,オーディーンボウ,,Arco de Odín,Arc d'Odin,Odinbogen,Arco di Odino
51B3,264,12,Bows,Angel's bow,天使の弓,,Arco angelical,Arc d'ange,Engelsbogen,Arco dell'angelo
51B4,265,12,Bows,Archangel's bow,大天使の弓,,Arco de arcángel,Arc d'archange,Erzengelsbogen,Arco dell'arcangelo
51B5,266,12,Bows,Aeon's bow,ケルビムの弓,,Arco de trono,Arc de chérubin,Äonenbogen,Arco del cherubino
51B6,267,12,Bows,Seraph's bow,セラフィムの弓,,Arco de serafín,Arc de séraphin,Seraphimbogen,Arco del serafino
5330,268,13,Shields,Pot lid,おなべのふた,,Tapadera,Couvercle de tonneau,Topfdeckel,Coperchio del tegame
532B,269,13,Shields,Leather shield,皮の盾,,Escudo de piel,Bouclier de cuir,Lederschild,Scudo di pelle
52C8,270,13,Shields,Scale shield,うろこの盾,,Escudo de escamas,Bouclier d'écailles,Schuppenschild,Scudo a scaglie
5331,271,13,Shields,Silver platter,シルバートレイ,,Fuente de plata,Plateau d'argent,Silberplatte,Vassoio d'argento
5332,272,13,Shields,Gold platter,ゴールドトレイ,,Fuente de oro,Plateau d'or,Goldplatte,Vassoio d'oro
5333,273,13,Shields,Platinum platter,プラチナトレイ,,Fuente de platino,Plateau de platine,Platinplatte,Vassoio di platino
5263,274,13,Shields,Bronze shield,せいどうの盾,,Escudo de bronce,Bouclier de bronze,Bronzeschild,Scudo di bronzo
5209,275,13,Shields,Shell shield,こうらの盾,,Escudo de concha,Bouclier chélonien,Schildpattschild,Tartascudo
5264,276,13,Shields,Iron shield,てつの盾,,Escudo de hierro,Bouclier de fer,Eisenschild,Scudo di ferro
5265,277,13,Shields,Steel shield,はがねの盾,,Escudo de acero,Bouclier d'acier,Stahlschild,Scudo d'acciaio
5267,278,13,Shields,Gigasteel shield,たまはがねの盾,,Escudo de gigacero,Bouclier de trempacier,Gigastahlschild,Scudo Inox
520C,279,13,Shields,Light shield,ライトシールド,,Escudo de luz,Bouclier léger,Leichter Schild,Scudo leggero
520A,280,13,Shields,Kitty shield,キトンシールド,,Escudo felino,Bouclier chat,Katzenschild,Scudo del micio
520B,281,13,Shields,Catty shield,キャットガーダー,,Escudo gatuno,Bouclier félin,Kätzchenschild,Scudo felino
520D,282,13,Shields,Platinum shield,プラチナシールド,,Escudo de platino,Bouclier de platine,Platinschild,Scudo di platino
5216,283,13,Shields,Slime shield,スライムトレイ,,Escudo limoso,Bouclier gluant,Schleimschild,Scudo Slurp
532A,284,13,Shields,Magic shield,まほうの盾,,Escudo mágico,Bouclier magique,Zauberschild,Scudo magico
5320,285,13,Shields,Enchanted shield,せいれいの盾,,Escudo encantado,Bouclier enchanté,Verzauberter Schild,Scudo incantato
5321,286,13,Shields,Ethereal shield,げんまの盾,,Escudo etéreo,Bouclier ésotérique,Ätherischer Schild,Scudo etereo
538E,287,13,Shields,Flame shield,ほのおの盾,,Escudo flamígero,Bouclier de feu,Flammenschild,Scudo di fuoco
5393,288,13,Shields,Ice shield,こおりの盾,,Escudo de hielo,Bouclier de glace,Eisschild,Scudo di ghiaccio
532F,289,13,Shields,White shield,ホワイトシールド,,Escudo blanco,Bouclier blanc,Weißer Schild,Scudo bianco
5208,290,13,Shields,Warrior's shield,戦士の盾,,Escudo de guerrero,Bouclier de guerrier,Kriegerschild,Scudo da guerriero
538F,291,13,Shields,Dragon shield,ドラゴンシールド,,Escudo de dragón,Bouclier du Dragon,Drachenschild,Scudo del drago
520E,292,13,Shields,Tempest shield,ふうじんの盾,,Escudo de tempestad,Bouclier du Vent,Sturmschild,Scudo della tempesta
52D0,293,13,Shields,White knight's shield,せいきしの盾,,Escudo de caballero,Écu de chevalier blanc,Ritterschild,Scudo della sacralità
532C,294,13,Shields,Power shield,ちからの盾,,Escudo de poder,Bouclier de puissance,Energieschild,Scudo del potere
5322,295,13,Shields,Empowered shield,ちからの盾改,,Escudo poderoso,Bouclier surpuissant,Hochenergieschild,Scudo Magis
5394,296,13,Shields,Dark shield,ダークシールド,,Escudo oscuro,Bouclier des ténèbres,Dunkler Schild,Scudo delle tenebre
5392,297,13,Shields,Ogre shield,オーガシールド,,Escudo de ogro,Bouclier d'ogre,Ogerschild,Scudo dell'orco
5390,298,13,Shields,Boss shield,おやぶんの盾,,Escudo de mandamás,Bouclier autoritaire,Boss-Schild,Scudo del gran capo
5395,299,13,Shields,Big boss shield,大おやぶんの盾,,Escudo de gran jefe,Bouclier dominateur,Oberboss-Schild,Scudo Daboss
532E,300,13,Shields,Silver shield,みかがみの盾,,Escudo de plata,Bouclier d'argent,Silberschild,Scudo d'argento
5391,301,13,Shields,Ruinous shield,はめつの盾,,Escudo de ruina,Bouclier du Désastre,Schild des Ruins,Scudo della rovina
520F,302,13,Shields,Saintess shield,聖女の盾,,Escudo de santidad,Bouclier de la Sainte,Heiligenschild,Scudo santo
5210,303,13,Shields,Goddess shield,女神の盾,,Escudo de diosa,Bouclier de la Déesse,Göttinnenschild,Scudo della dea
52C6,304,13,Shields,Metal slime shield,メタスラの盾,,Escudo limometálico,Écu de gluant de métal,Metallschleimschild,Scudo dello Slime grigio
52C9,305,13,Shields,Liquid metal shield,はぐれメタルの盾,,Escudo metalíquido,Bouclier de mercure,Flüssigmetallschild,Scudo del Liquislime
52CA,306,13,Shields,Metal king shield,メタルキングの盾,,Escudo real,Bouclier royal,Metallkönigschild,Scudo del Re Slime grigio
5211,307,13,Shields,Rusty shield,さびついた盾,,Escudo oxidado,Bouclier rouillé,Rostiger Schild,Scudo arrugginito
52C7,308,13,Shields,Erdrick's shield,ロトの盾,,Escudo de Erdrick,Bouclier d'Elric,Erdrickschild,Scudo di Erdrick
5212,309,13,Shields,Brain drainer,りんねの盾,,Vaciacerebros,Boucliéponge,Hirnhemmer,Cerebrus
5213,310,13,Shields,Psyche swiper,えいえんの盾,,Limpiapsiques,Aimental,Zauberzapfer,Psikion
5214,311,13,Shields,Devilry drinker,メビウスの盾,,Absorbemaldad,Qommaléfice,Geistgurgler,Diabolos
5215,312,13,Shields,Soul sucker,ウロボロスの盾,,Robaalmas,Désâmenteur,Seelensauger,Scudemon
332D,313,15,Torso,Leather armour,皮のよろい,,Armadura de cuero,Armure de cuir,Lederharnisch,Armatura di pelle
332E,314,15,Torso,Scale armour,うろこのよろい,,Peto de escamas,Armure d'écailles,Schuppenpanzer,Armatura a scaglie
338C,315,15,Torso,Large-scale armour,ハードスケイル,,Peto de escamazas,Armure d'écailles blindée,Super-schuppenpanzer,Gran corazza
332F,316,15,Torso,Chain mail,くさりかたびら,,Cota de malla,Cotte de mailles,Kettenpanzer,Cotta di maglia
338D,317,15,Torso,Bronze armour,せいどうのよろい,,Armadura de bronce,Armure de bronze,Bronzeharnisch,Armatura di bronzo
35DE,318,15,Torso,Iron cuirass,てつのむねあて,,Peto de acero,Plastron de fer,Eisenkürass,Corazza di ferro
35E1,319,15,Torso,Silver cuirass,ぎんのむねあて,,Peto de plata,Plastron d'argent,Silberkürass,Corazza d'argento
3388,320,15,Torso,Iron armour,てつのよろい,,Armadura de hierro,Armure de fer,Eisenrüstung,Armatura Ferrus
338E,321,15,Torso,Full plate armour,はがねのよろい,,Armadura compacta,Armure de plates,Ritterrüstung,Armatura a piastre
338F,322,15,Torso,Gigasteel armour,たまはがねのよろい,,Armadura de gigacero,Armure de trempacier,Gigastahlrüstung,Armatura Inox
35DF,323,15,Torso,Tortoise shell,カメのこうら,,Caparazón de tortuga,Carapace de tortue,Schildkröten-panzer,Guscio di tartaruga
35E2,324,15,Torso,Tortoiseshell armour,トータスアーマー,,Armadura caparazón,Armure chélonienne,Schildkröten-rüstung,Corazza Tortuga
337C,325,15,Torso,Silver mail,シルバーメイル,,Armadura de plata,Cuirasse d'argent,Silberpanzer,Cotta d'argento
337D,326,15,Torso,Gold mail,ゴールドメイル,,Cota de oro,Cuirasse d'or,Goldpanzer,Cotta d'oro
337E,327,15,Torso,Platinum mail,プラチナメイル,,Cota de platino,Cuirasse de platine,Platinpanzer,Cotta di platino
337F,328,15,Torso,Heavy armour,あつでのよろい,,Armadura pesada,Armure lourde,Schwere Rüstung,Armatura pesante
32C8,329,15,Torso,Warrior's armour,戦士のよろい,,Armadura de guerrero,Armure de guerrier,Kriegerrüstung,Corazza da guerriero
3521,330,15,Torso,Femiscyran mail,アマゾネスチェイン,,Cota de Feministia,Cuirasse de Fémiscyra,Femiscyra-Panzer,Cotta di Femiscyra
3380,331,15,Torso,Magic armour,まほうのよろい,,Armadura mágica,Armure magique,Zauberrüstung,Armatura magica
3381,332,15,Torso,Enchanted armour,せいれいのよろい,,Armadura encantada,Armure enchantée,Verzauberte Rüstung,Corazza incantata
3382,333,15,Torso,Ethereal armour,げんまのよろい,,Armadura etérea,Armure ésotérique,Ätherische Rüstung,Armatura eterea
3384,334,15,Torso,Spiked armour,やいばのよろい,,Armadura con púas,Armure de piques,Stachelrüstung,Armatura con aculei
3383,335,15,Torso,Dragon mail,ドラゴンメイル,,Cota de dragón,Cuirasse du Dragon,Drachenpanzer,Armatura del drago
332C,336,15,Torso,Tactical vest,コンバットアーマー,,Chaleco antiespadas,Cuirasse tactique,Taktische Weste,Corazza portentosa
3522,337,15,Torso,Brawling byrnie,コンバットメイル,,Malla larga de combate,Cotte de combat,Balgebrünne,Tunica metallica
3390,338,15,Torso,Holy mail,ホーリーチェイン,,Malla sagrada,Cotte de mailles sacrée,Heiliger Panzer,Corazza santa
3523,339,15,Torso,Holy femail,チェインドレス,,Malla femenina sagrada,Cocotte de mailles,Heiliger Damenpanzer,Cotta consacrata
336A,340,15,Torso,Dragon warrior armour,竜戦士のよろい,,Malla de draconarius,Armure de dracoguerrier,Drachenkrieger-rüstung,Corazza Draconis
3385,341,15,Torso,Sacred armour,しんぴのよろい,,Armadura sagrada,Armure sacrée,Heilige Rüstung,Armatura sacra
3372,342,15,Torso,Sacrosanct armour,しんぴのよろい改,,Armadura sacrosanta,Armure sainte,Sakrosankte Rüstung,Cotta celeste
3373,343,15,Torso,Veteran's armour,古強者のよろい,古強者の鎧,Armadura de veterano,Armure de vétéran,Veteranenrüstung,Armatura da veterano
3374,344,15,Torso,Mirror armour,ミラーアーマー,,Armadura especular,Armure miroir,Spiegelrüstung,Armatura riflettente
3375,345,15,Torso,Catoptric armour,リフレクトアーマー,,Armadura catóptrica,Armure catoptrique,Katoptrikrüstung,Corazza trasparente
3376,346,15,Torso,Gigant armour,ギガントアーマー,,Armadura gigante,Armure de géant,Riesenrüstung,Armatura dei giganti
3386,347,15,Torso,Metal slime armour,メタスラよろい,メタスラ鎧,Armadura limometálica,Cotte de gluant de métal,Metallschleim-rüstung,Lorica dello Slime grigio
3377,348,15,Torso,Liquid metal armour,はぐれメタルよろい,,Armadura metalíquida,Armure de mercure,Flüssigmetall-rüstung,Corazza del Liquislime
3378,349,15,Torso,Metal king armour,メタルキングよろい,,Armadura real,Armure royale,Metallkönigrüstung,Lorica del Re Slime grigio
3379,350,15,Torso,Rusty armour,さびついたよろい,,Armadura oxidada,Armure rouillée,Rostige Rüstung,Armatura arrugginita
338B,351,15,Torso,Erdrick's armour,ロトのよろい,,Armadura de Erdrick,Armure d'Elric,Erdrickrüstung,Corazza di Erdrick
337A,352,15,Torso,Victorious armour,しょうりのよろい,勝利の鎧,Armadura victoriosa,Armure victorieuse,Siegreiche Rüstung,Armatura della vittoria
337B,353,15,Torso,Glorious armour,えいこうのよろい,,Armadura gloriosa,Armure glorieuse,Ruhmreiche Rüstung,Armatura della gloria
3368,354,15,Torso,Mythical armour,でんせつのよろい,,Armadura mítica,Armure mythique,Mythische Rüstung,Corazza mitica
3369,355,15,Torso,Legendary armour,しんわのよろい,,Armadura legendaria,Armure légendaire,Legendäre Rüstung,Corazza leggendaria
32CD,356,15,Torso,Plain clothes,ぬのの服,布の服,Vestimenta normal,Vêtement simple,Einfaches Gewand,Abito semplice
3327,357,15,Torso,Wayfarer's clothes,たびびとの服,,Vestimenta de viaje,Tenue de voyageur,Reisegewand,Abito da viandante
34CF,358,15,Torso,Leather dress,皮のドレス,,Vestido de cuero,Robe de cuir,Lederkleid,Vestito di pelle
34D0,359,15,Torso,Plain dress,若草色のドレス,,Vestido normal,Robe simple,Einfaches Kleid,Abito normale
34D1,360,15,Torso,Summer dress,サマードレス,,Vestido veraniego,Robe d'été,Sommerkleid,Abito estivo
34D2,361,15,Torso,Jaguarment,ジャガードレス,,Jaguaraje,Costume jaguar,Jaguarkleid,Veste del giaguaro
32CE,362,15,Torso,Training top,けいこぎ上,,Chaqueta de kimono,Veste d'entraînement,Übungs-Oberteil,Giacca da allenamento
32D2,363,15,Torso,Tracksuit top,しゅぎょうぎ上,,Chaqueta marcial,Veste de lutte,Trainings-Oberteil,Maglietta da gara
3393,364,15,Torso,Leather cape,レザーマント,,Capa de cuero,Cape de cuir,Lederumhang,Mantello di pelle
32D1,365,15,Torso,Swinedimples blazer,エルシオンブレザー,,Chaqueta de Paracelso,Blazer Saint-Sévaire,Schweinspickel-Jacke,Giacca dell'Accademia
3525,366,15,Torso,Dancer's costume,おどりこの服,,Vestido de bailarina,Costume de danseuse,Tänzerinnen-kostüm,Costume da ballerina
32D3,367,15,Torso,Garish garb,はでな服,,Atuendo estridente,Tenue voyante,Grelles Gewand,Abito malizioso
3394,368,15,Torso,Fur poncho,けがわのポンチョ,,Poncho de pieles,Poncho de fourrure,Pelzponcho,Scialle di pelliccia
32EF,369,15,Torso,White t-shirt,白いＴシャツ,,Camiseta blanca,T-shirt blanc,Weißes Hemd,Maglietta bianca
32F0,370,15,Torso,Jolly roger jumper,ドクロのＴシャツ,,Jersey pirata,Marinière,Piratenpulli,Maglia da pirata
32F1,371,15,Torso,Shipmate's shirt,しましまＴシャツ,,Camiseta de grumete,Chemise de pirate,Matrosenhemd,Maglietta marina
32D4,372,15,Torso,Cloak of evasion,みかわしの服,,Túnica de evasión,Manteau d'esquive,Mantel des Meidens,Veste mimetica
32D5,373,15,Torso,Cloak of concealment,かくれみの服,,Túnica de camuflaje,Manteau de dissimulation,Tarnkappe,Abito Escapade
32D6,374,15,Torso,Gooey gear,スライムの服,,Atuendo limoso,Tenue de gluant,Glibbergewand,Veste bi-Slime
3526,375,15,Torso,Bunny suit,バニースーツ,,Traje de conejita,Costume de lapin,Häschenkostüm,Giacchina da coniglietta
32D7,376,15,Torso,Smart suit,おしゃれなスーツ,,Traje de petimetre,Costume chic,Schickes Outfit,Abito elegante
34C0,377,15,Torso,Spangled dress,スパンコールドレス,,Vestido reluciente,Robe à paillettes,Glitzerkleid,Vestito di paillettes
3395,378,15,Torso,Velvet cape,ビロードのマント,,Capa de terciopelo,Cape de velours,Samtumhang,Mantello di velluto
3396,379,15,Torso,Majestic mantle,ノーブルなマント,,Manto majestuoso,Manteau majestueux,Majestätischer Mantel,Veste maestosa
32C9,380,15,Torso,Tussler's top,けんぽうぎ上,,Camisa de cachas,Veste de lutteur,Grobian-Oberteil,Veste guerresca
34BC,381,15,Torso,Strongsam,ぶとうぎ,,Vestido para matar,Cheongsam,Cheongbamm,Abito dei mille colpi
34C1,382,15,Torso,Dragon dress,ドラゴンスーツ,,Vestido de dragón,Robe du Dragon,Drachenkleid,Veste Dragonia
32CA,383,15,Torso,Flamenco shirt,ダンサーのシャツ,,Camisa lolailo,Chemise flamenco,Flamenco-Hemd,Camicia da flamenco
34BE,384,15,Torso,Dancer's dress,おどりこのドレス,,Vestido de bailarina,Robe de danseuse,Tänzerinnenkleid,Abito da ballo
33F5,385,15,Torso,Rogue's robes,ぎぞくのジャケット,,Abrigo de pícaro,Robe de voleur,Adelsmantel,Abito di Galadro
33F6,386,15,Torso,Roguess's robes,ぎぞくのチュニック,,Ropaje de rufiana,Robe de voleuse,Gaunerinnen-gewand,Veste di Galadrina
32CB,387,15,Torso,Fur vest,けがわのベスト,,Abrigo de pieles,Gilet de fourrure,Pelzweste,Vestito di pelliccia
3392,388,15,Torso,Nomadic deel,大地のキルト,,Qipao nómada,Del de nomade,Wanderrock,Gonna della natura
32CC,389,15,Torso,Star's suit,ドハデなスーツ,,Traje de estrella,Habit de star,Star-Smoking,Vestito Star
32D8,390,15,Torso,Superstar's suit,スターなスーツ,,Traje de superestrella,Habit de superstar,Superstar-Smoking,Giacca Superstar
3524,391,15,Torso,Tint-tastic tutu,カラフルチュチュ,,Tutú tintástico,Tutu teintastique,Knallbuntes Tutu,Fant'abitino
3527,392,15,Torso,Technicolour tutu,レインボーチュチュ,,Tutú en tecnicolor,Tutu technicolor,Farbenfrohes Tutu,Tutù dell'arcobaleno
3528,393,15,Torso,Dangerous bikini top,あぶない水着上,,Bikini peligroso,Haut de bikini dangereux,Gefährliches Bikini-Top,Top pericoloso
3529,394,15,Torso,Hot bikini top,いけない水着上,,Bikini caliente,Haut de bikini brûlant,Heißes Bikini-Top,Top millesguardi
352A,395,15,Torso,Sizzling bikini top,きわどい水着上,,Bikini chisporroteante,Haut de bikini torride,Brandheißes Bikini-Top,Top De Fuego
32D9,396,15,Torso,Dragon top,竜のどうぎ上,,Chaqueta de dragón,Tunique draconique,Drachen-Oberteil,Maglia del drago
3397,397,15,Torso,Dark robe,やみのころも,,Túnica oscura,Mantelet sombre,Dunkle Robe,Mantello scuro
3398,398,15,Torso,Macabre mantle,しっこくのマント,,Manto macabro,Manteau macabre,Makabrer Mantel,Mantello macabro
32DA,399,15,Torso,Combat top,ぶしんのどうぎ上,,Atuendo de combate,Veste de combat,Kampf-Oberteil,Maglia da battaglia
353B,400,15,Torso,Combat costume,ぶしんのドレス,,Atuendo de combate,Tenue de combat,Kampfkostüm,Tenuta da battaglia
32DC,401,15,Torso,Twinkling tuxedo,ひかりのタキシード,,Esmoquin brillante,Smoking scintillant,Schimmernder Smoking,Giacca sfavillante
34C2,402,15,Torso,Shimmering dress,ひかりのドレス,,Vestido resplandeciente,Robe chatoyante,Schimmerndes Kleid,Abito scintillante
352C,403,15,Torso,Dangerous bustier,あぶないビスチェ,,Bustier peligroso,Bustier dangereux,Gefährliches Bustier,Guêpière
352D,404,15,Torso,Silk bustier,シルクのビスチェ,,Bustier de seda,Bustier de soie,Seidenbustier,Bustino di seta
352E,405,15,Torso,Divine bustier,しんぴのビスチェ,,Bustier divino,Bustier divin,Göttliches Bustier,Guêpière divina
3399,406,15,Torso,Pallium Regale,おうじゃのマント,,Manto real,Pallium regale,Königsumhang,Pallio regale
32DD,407,15,Torso,Tropotoga,そらのトーガ,,Tropotoga,Tropotoge,Tropotoga,Tropotoga
32DE,408,15,Torso,Stratotoga,てんのトーガ,,Estratotoga,Stratotoge,Stratotoga,Stratotoga
32DF,409,15,Torso,Mesotoga,おおぞらのトーガ,,Mesotoga,Mésotoge,Mesotoga,Mesotoga
32E0,410,15,Torso,Exotoga,そうてんのトーガ,,Exotoga,Exotoge,Exotoga,Exotoga
33F9,411,15,Torso,Silk robe,きぬのローブ,,Vestido de seda,Robe de soie,Seidenrobe,Veste di seta
33FA,412,15,Torso,Robe of serenity,やすらぎのローブ,,Velo de serenidad,Manteau de sérénité,Robe der Ruhe,Veste della serenità
340C,413,15,Torso,Robe of sweet dreams,ヒュプノスガウン,,Vestido de ensueño,Manteau des rêves,Robe der Süßen Träume,Abito Sogni d'oro
32E8,414,15,Torso,Best vest,きれいなベスト,,Camisa de misa,Gilet d'apparat,Beste Weste,Camicia elegante
340D,415,15,Torso,Magical robes,まほうのほうい,,Túnica mágica,Manteau magique,Zauberrobe,Abito della magia
340E,416,15,Torso,Enchanted robes,せいれいのほうい,,Túnica encantada,Manteau enchanté,Verzauberte Robe,Veste dell'incanto
340F,417,15,Torso,Ethereal robes,げんまのほうい,,Túnica etérea,Manteau ésotérique,Ätherische Robe,Veste eterea
33F4,418,15,Torso,Ascetic robe,ぎょうじゃのほうい,,Túnica ascética,Tunique d'ascète,Asketenrobe,Veste da asceta
3410,419,15,Torso,Saintly robe,せいじゃのほうい,,Túnica de santidad,Tunique de saint,Heiligenrobe,Tunica della santità
34BD,420,15,Torso,Priestess's pinafore,にそうのころも,,Pichi de sacerdotisa,Robe chasuble,Priesterinnenkleid,Veste da sacerdotessa
3584,421,15,Torso,Fizzle-retardant suit,まじないしの服,,Ropa retrasanegación,Tunique retardantimagie,Anti-Ätsch-Anzug,Veste contromagica
3585,422,15,Torso,Fizzle-proof suit,いんじゃのころも,,Ropa antinegación,Tunique anti-Antimagie,Ätschfester Anzug,Abito contromagico
3520,423,15,Torso,Fizzle-retardant blouse,まじょの服,,Traje retrasanegación,Blouse retardantimagie,Anti-Ätsch-Bluse,Camicia contromagica
32E9,424,15,Torso,Glombolero,ふしぎなボレロ,,Torera de ladrón,Absorboléro,Klaubolero,Veste antimagica
33F7,425,15,Torso,Fencing jacket,フェンサーコート,,Chaqueta de esgrima,Veste d'escrime,Fechtjacke,Giacca da spadaccino
3391,426,15,Torso,Fencing frock,フェンサードレス,,Chaqueta de esgrima,Tenue d'escrime,Katzbalger-Kittel,Sciabolabito
33F8,427,15,Torso,Sage's robe,けんじゃのローブ,,Túnica de sabio,Manteau de Sagesse,Robe des Weisen,Veste del saggio
34BF,428,15,Torso,Maiden's mantle,さいじょのマント,,Manto de doncella,Manteau d'érudite,Maidenmantel,Mantello da donna
3411,429,15,Torso,Flowing dress,水のはごろも,,Vestido vaporoso,Robe flottante,Fließendes Kleid,Veste d'acqua
344E,430,15,Torso,Wizard's robe,だいまどうローブ,,Túnica de mago,Robe de magicien,Magierrobe,Tunica da mago
344F,431,15,Torso,Witch's robe,ウィッチローブ,,Vestido de bruja,Robe de sorcière,Hexenrobe,Tunica della strega
